#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Mageeibacillus_indolicus--GCF_000025225.2 as POCP was;	21.9811079908%
POCP suggests seperate genus between the input genome and Ruminococcus_champanellensis--GCF_000210095.1 as POCP was;	31.7587515816%
POCP suggests seperate genus between the input genome and Sporobacter_termitidis--GCF_900130065.1 as POCP was;	29.1102514507%
POCP suggests seperate genus between the input genome and Eubacterium_limosum--GCF_000807675.2 as POCP was;	23.0006105006%
POCP suggests seperate genus between the input genome and Lutispora_thermophila--GCF_900142105.1 as POCP was;	22.1630901288%
POCP suggests seperate genus between the input genome and Clostridium_cellobioparum--GCF_000621505.1 as POCP was;	21.401138922%
POCP suggests seperate genus between the input genome and Clostridium_cellulolyticum--GCF_000022065.1 as POCP was;	23.7662118915%
POCP suggests seperate genus between the input genome and Ruminococcus_bromii--GCF_900101355.1 as POCP was;	30.4437140509%
POCP suggests seperate genus between the input genome and Oscillibacter_valericigenes--GCF_000283575.1 as POCP was;	30.8291678918%
POCP suggests seperate genus between the input genome and Pseudoflavonifractor_capillosus--GCF_000169255.2 as POCP was;	34.9572919962%
POCP suggests seperate genus between the input genome and Intestinimonas_butyriciproducens--GCA_003096335.1 as POCP was;	35.7894736842%
POCP suggests seperate genus between the input genome and Clostridium_viride--GCF_000620945.1 as POCP was;	33.8954468803%
POCP suggests seperate genus between the input genome and Oscillibacter_ruminantium--GCF_000307265.1 as POCP was;	35.4511278195%
POCP suggests seperate genus between the input genome and Clostridium_hungatei--GCF_002051585.1 as POCP was;	23.5769922109%
POCP suggests seperate genus between the input genome and Flavonifractor_plautii--GCF_000239295.1 as POCP was;	34.1351660939%
POCP suggests seperate genus between the input genome and Ruminococcus_flavefaciens--GCF_000571935.1 as POCP was;	28.3069734004%
POCP suggests seperate genus between the input genome and Clostridium_butyricum--GCF_000409755.1 as POCP was;	23.804447152%
POCP suggests seperate genus between the input genome and Clostridium_leptum--GCF_000154345.1 as POCP was;	31.6401124649%
POCP suggests seperate genus between the input genome and Acetanaerobacterium_elongatum--GCF_900103835.1 as POCP was;	29.1398478642%
POCP suggests seperate genus between the input genome and Ruthenibacterium_lactatiformans--GCF_000949455.1 as POCP was;	30.1952690903%
POCP suggests seperate genus between the input genome and Ruminococcus_callidus--GCF_000468015.1 as POCP was;	30.8107067206%
POCP suggests seperate genus between the input genome and Gemmiger_formicilis--GCF_900167555.1 as POCP was;	33.5943468296%
POCP suggests seperate genus between the input genome and Clostridium_termitidis--GCF_000350485.1 as POCP was;	21.3089409946%
POCP suggests seperate genus between the input genome and Clostridium_methylpentosum--GCF_000158655.1 as POCP was;	32.1537290715%
POCP suggests seperate genus between the input genome and Subdoligranulum_variabile--GCF_000157955.1 as POCP was;	34.9869936826%
POCP suggests the input genome and Agathobaculum_butyriciproducens--GCA_003096535.1 belong to the same genus with a POCP of;	84.2105263158%
POCP suggests seperate genus between the input genome and Anaerotruncus_colihominis--GCF_000154565.1 as POCP was;	30.8971193416%
POCP suggests seperate genus between the input genome and Clostridium_sufflavum--GCF_003208175.1 as POCP was;	24.0658436214%
POCP suggests seperate genus between the input genome and Hydrogenoanaerobacterium_saccharovorans--GCF_900110045.1 as POCP was;	30.612626074%
POCP suggests seperate genus between the input genome and Herbivorax_saccincola--GCF_002844395.1 as POCP was;	21.8451749735%
POCP suggests seperate genus between the input genome and Papillibacter_cinnamivorans--GCF_900176335.1 as POCP was;	35.3103448276%
POCP suggests seperate genus between the input genome and Clostridium_cellulosi--GCF_000953215.1 as POCP was;	31.7045710426%
POCP suggests seperate genus between the input genome and Ruminococcus_albus--GCF_900109655.1 as POCP was;	25.6141556434%
POCP suggests the input genome and Butyricicoccus_pullicaecorum--GCF_900167005.1 belong to the same genus with a POCP of;	51.7372421281%
POCP suggests seperate genus between the input genome and Ethanoligenens_harbinense--GCF_000178115.2 as POCP was;	30.332117489%
POCP suggests seperate genus between the input genome and Clostridium_stercorarium--GCF_000331995.1 as POCP was;	25.8070944599%
POCP suggests the input genome and Agathobaculum_desmolans--GCF_000701665.1 belong to the same genus with a POCP of;	62.8588398337%
POCP suggests seperate genus between the input genome and Fournierella_massiliensis--GCF_001486665.1 as POCP was;	31.3535218337%
POCP suggests seperate genus between the input genome and Eubacterium_siraeum--GCF_000154325.1 as POCP was;	30.2725366876%
POCP suggests seperate genus between the input genome and Clostridium_papyrosolvens--GCF_000175795.2 as POCP was;	23.5250074873%
