#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Fastidiosipila_sanguinis--GCF_002998295.1 as POCP was;	15.6161137441%
POCP suggests seperate genus between the input genome and Mageeibacillus_indolicus--GCF_000025225.2 as POCP was;	19.1155492154%
POCP suggests seperate genus between the input genome and Clostridium_sporogenes--GCF_001020205.1 as POCP was;	22.9018271911%
POCP suggests seperate genus between the input genome and Ruminococcus_champanellensis--GCF_000210095.1 as POCP was;	28.0858676208%
POCP suggests seperate genus between the input genome and Sporobacter_termitidis--GCF_900130065.1 as POCP was;	23.2096103496%
POCP suggests seperate genus between the input genome and Clostridium_botulinum--GCF_000020165.1 as POCP was;	23.3236621534%
POCP suggests seperate genus between the input genome and Clostridium_cellobioparum--GCF_000621505.1 as POCP was;	23.443877551%
POCP suggests seperate genus between the input genome and Clostridium_cellulolyticum--GCF_000022065.1 as POCP was;	26.4696434308%
POCP suggests seperate genus between the input genome and Catabacter_hongkongensis--GCF_000981035.1 as POCP was;	25.2161637551%
POCP suggests seperate genus between the input genome and Ruminococcus_bromii--GCF_900101355.1 as POCP was;	28.7376381617%
POCP suggests seperate genus between the input genome and Oscillibacter_valericigenes--GCF_000283575.1 as POCP was;	22.4650966013%
POCP suggests seperate genus between the input genome and Pseudoflavonifractor_capillosus--GCF_000169255.2 as POCP was;	27.1819694449%
POCP suggests seperate genus between the input genome and Intestinimonas_butyriciproducens--GCA_003096335.1 as POCP was;	26.8667011554%
POCP suggests seperate genus between the input genome and Pseudobacteroides_cellulosolvens--GCF_001262605.1 as POCP was;	20.5984690327%
POCP suggests seperate genus between the input genome and Oscillibacter_ruminantium--GCF_000307265.1 as POCP was;	24.6211445891%
POCP suggests seperate genus between the input genome and Clostridium_hungatei--GCF_002051585.1 as POCP was;	23.8047379756%
POCP suggests seperate genus between the input genome and Flavonifractor_plautii--GCF_000239295.1 as POCP was;	25.625%
POCP suggests seperate genus between the input genome and Ruminococcus_flavefaciens--GCF_000571935.1 as POCP was;	25.2178370067%
POCP suggests seperate genus between the input genome and Clostridium_collagenovorans--GCF_900130005.1 as POCP was;	24.6848739496%
POCP suggests seperate genus between the input genome and Clostridium_butyricum--GCF_000409755.1 as POCP was;	24.5222465354%
POCP suggests seperate genus between the input genome and Clostridium_argentinense--GCF_000816675.1 as POCP was;	20.8542353447%
POCP suggests seperate genus between the input genome and Clostridium_termitidis--GCF_000350485.1 as POCP was;	23.2020866973%
POCP suggests seperate genus between the input genome and Clostridium_methylpentosum--GCF_000158655.1 as POCP was;	30.0090171326%
POCP suggests seperate genus between the input genome and Clostridium_sufflavum--GCF_003208175.1 as POCP was;	26.4299182904%
POCP suggests seperate genus between the input genome and Hathewaya_proteolytica--GCF_900142225.1 as POCP was;	25.2326014142%
POCP suggests seperate genus between the input genome and Herbivorax_saccincola--GCF_002844395.1 as POCP was;	24.6678997814%
POCP suggests seperate genus between the input genome and Papillibacter_cinnamivorans--GCF_900176335.1 as POCP was;	25.615212528%
POCP suggests seperate genus between the input genome and Clostridium_tepidiprofundi--GCF_001594005.1 as POCP was;	22.5853837679%
POCP suggests seperate genus between the input genome and Clostridium_cellulosi--GCF_000953215.1 as POCP was;	29.3868921776%
POCP suggests seperate genus between the input genome and Ruminococcus_albus--GCF_900109655.1 as POCP was;	24.4844517185%
POCP suggests seperate genus between the input genome and Butyricicoccus_pullicaecorum--GCF_900167005.1 as POCP was;	29.1315563199%
POCP suggests seperate genus between the input genome and Clostridium_straminisolvens--GCF_000521465.1 as POCP was;	25.5878669821%
POCP suggests seperate genus between the input genome and Clostridium_stercorarium--GCF_000331995.1 as POCP was;	27.642736009%
POCP suggests seperate genus between the input genome and Fournierella_massiliensis--GCF_001486665.1 as POCP was;	25.6942227897%
POCP suggests seperate genus between the input genome and Clostridium_pasteurianum--GCF_000389635.1 as POCP was;	21.6706698692%
POCP suggests seperate genus between the input genome and Clostridium_papyrosolvens--GCF_000175795.2 as POCP was;	24.8457011626%
